OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
9,Steve Jobs,TN,9.46,Distressed Red Oak,24854,18.57,23.33,461538.78,579843.82,98514.79,1139897.39
16,Alex Trebek,DN,9.46,Straw,11581,1.8,3.25,20845.8,37638.25,5532.59,64016.64
17,Ada Lovelace,KY,6,Bamboo,2727,18.5,9.25,50449.5,25224.75,4540.46,80214.71
27,Penn Jillette,XX,9.46,Tile,10041,1.5,14.3,15061.5,143586.3,15008.08,173655.88
34,Steve Jobs,II,9.46,Laminate,26202,4.5,9.8,117909,256779.6,35445.54,410134.14
35,Jaden Smith,DN,9.46,Bamboo,1919,18.5,9.25,35501.5,17750.75,5037.66,58289.91
40,Alex Trebek,KY,6,Tile,19288,1.5,14.3,28932,275818.4,18285.02,323035.42
42,Charles Babbage,LO,9.46,Bamboo,1914,18.5,9.25,35409,17704.5,5024.54,58138.04
46,Penn Jillette,DN,9.46,Tile,8691,1.5,14.3,13036.5,124281.3,12990.26,150308.06
54,Monty Hall,HI,4.35,Disco Light Up Panels,11005,40.78,23.33,448783.9,256746.65,30690.58,736221.13
62,Thomas J. Watson,RI,7,Bamboo,16631,18.5,9.25,307673.5,153836.75,32305.72,493815.97
64,Steve Jobs,OH,7.14,Marble,2938,88.73,34.25,260688.74,100626.5,25797.91,387113.15
74,Penn Jillette,OH,7.14,Straw,1822,1.8,3.25,3279.6,5921.5,656.96,9858.06
84,Bill Gates,TN,9.46,Mosaic Tile,24758,18.5,49.25,458023,1219331.5,158677.74,1836032.24
90,Jean Ichbiah,RI,7,Tile,24016,1.5,14.3,36024,343428.8,26561.7,406014.5
96,Elon Musk,WY,9.46,Trampoline,11793,20.78,13.33,245058.54,157200.69,38053.72,440312.95
97,Elon Musk,ZZ,9.46,Distressed Red Oak,9372,18.57,23.33,174038.04,218648.76,37148.17,429834.97
100,Grace Murray Hopper,II,9.46,Trampoline,6682,20.78,13.33,138851.96,89071.06,21561.52,249484.54
103,Ada Lovelace,AK,1.76,Mosaic Tile,25459,18.5,49.25,470991.5,1253855.75,30357.31,1755204.56
112,Thomas J. Watson,II,9.46,Mosaic Tile,926,18.5,49.25,17131,45605.5,5934.87,68671.37
116,Grace Murray Hopper,LO,9.46,Granite,24556,72.5,29.25,1780310,718263,236365.01,2734938.01
125,Ada Lovelace,RI,7,Distressed Red Oak,16352,18.57,23.33,303656.64,381492.16,47960.42,733109.22
126,Albert Einstein,ZZ,9.46,Asphalt,1624,10.78,13.33,17506.72,21647.92,3704.03,42858.67
131,Penn Jillette,II,9.46,Disco Light Up Panels,29385,40.78,23.33,1198320.3,685552.05,178214.32,2062086.67
136,Alex Trebek,ZZ,9.46,Dirt,27920,0.78,3.33,21777.6,92973.6,10855.46,125606.66
141,Charles Darwin,DN,9.46,Tile,18553,1.5,14.3,27829.5,265307.9,27730.8,320868.2
150,Charles Darwin,HI,4.35,Tile,26217,1.5,14.3,39325.5,374903.1,18018.94,432247.54
